index , fval, rval 
00000,00250,00250
00001,00250,00250
00002,00250,00250
00003,00250,00250
00004,00250,00250
00005,00250,00250
00006,00250,00250
00007,00250,00250
00008,00250,00250
00009,00250,00250
00010,00250,00250
00011,00250,00250
00012,00250,00250
00013,00250,00250
00014,00250,00250
00015,00250,00250
00016,00250,00250
00017,00250,00250
00018,00250,00250
00019,00250,00250
00020,00250,00250
00021,00250,00250
00022,00250,00250
00023,00250,00250
00024,00250,00250
00025,00250,00250
00026,00250,00250
00027,00250,00250
00028,00242,00242
00029,00226,00226
00030,00210,00210
00031,00198,00198
00032,00186,00186
00033,00176,00176
00034,00168,00168
00035,00160,00160
00036,00207,00152
00037,00148,00144
00038,00000,00138
00039,00000,00134
00040,00000,00130
00041,00000,00126
00042,00000,00122
00043,00000,00118
00044,00000,00114
00045,00002,00110
00046,00000,00106
00047,00000,00102
00048,00000,00099
00049,00187,00097
00050,00012,00095
00051,00000,00092
00052,00000,00089
00053,00000,00086
00054,00007,00083
00055,00011,00080
00056,00005,00078
00057,00017,00076
00058,00002,00074
00059,00011,00072
00060,00021,00070
00061,00003,00068
00062,00006,00067
00063,00045,00066
00064,00055,00064
00065,00046,00063
00066,00054,00062
00067,00060,00060
00068,00059,00059
00069,00058,00058
00070,00055,00056
00071,00057,00055
00072,00052,00054
00073,00056,00054
00074,00050,00051
00075,00050,00050
00076,00051,00055
00077,00048,00049
00078,00048,00045
00079,00048,00052
00080,00049,00052
00081,00046,00047
00082,00045,00051
00083,00045,00042
00084,00046,00038
00085,00044,00039
00086,00043,00050
00087,00042,00052
00088,00047,00038
00089,00041,00036
00090,00041,00045
00091,00040,00045
00092,00037,00035
00093,00034,00042
00094,00021,00037
00095,00054,00035
00096,00009,00037
00097,00016,00041
00098,00032,00032
00099,00008,00031
00100,00031,00043
00101,00011,00036
00102,00016,00030
00103,00015,00035
00104,00009,00031
00105,00011,00033
00106,00009,00028
00107,00001,00036
00108,00201,00030
00109,00008,00031
00110,00006,00030
00111,00155,00030
00112,00028,00038
00113,00000,00031
00114,00006,00028
00115,00107,00031
00116,00008,00032
00117,00008,00032
00118,00004,00031
00119,00002,00025
00120,00158,00026
00121,00005,00032
00122,00001,00024
00123,00001,00031
00124,00133,00023
00125,00001,00027
00126,00179,00023
00127,00009,00023
00128,00001,00024
00129,00002,00025
00130,00130,00023
00131,00000,00022
00132,00006,00025
00133,00003,00025
00134,00001,00023
00135,00095,00023
00136,00000,00024
00137,00000,00025
00138,00002,00022
00139,00000,00024
00140,00001,00021
00141,00000,00020
00142,00003,00020
00143,00000,00022
00144,00000,00020
00145,00001,00022
00146,00000,00018
00147,00005,00022
00148,00001,00018
00149,00001,00022
00150,00002,00021
00151,00000,00018
00152,00000,00019
00153,00000,00017
00154,00001,00019
00155,00001,00020
00156,00002,00018
00157,00000,00018
00158,00003,00018
00159,00000,00019
00160,00002,00018
00161,00012,00018
00162,00001,00015
00163,00005,00019
00164,00002,00019
00165,00000,00017
00166,00003,00016
00167,00001,00016
00168,00000,00016
00169,00001,00014
00170,00005,00016
00171,00090,00015
00172,00000,00015
00173,00000,00015
00174,00001,00018
00175,00000,00019
00176,00001,00014
00177,00013,00016
00178,00000,00019
00179,00012,00014
00180,00000,00013
00181,00000,00015
00182,00001,00018
00183,00000,00015
00184,00002,00011
00185,00000,00013
00186,00001,00019
00187,00000,00014
00188,00002,00013
00189,00004,00018
00190,00000,00019
00191,00000,00014
00192,00005,00017
00193,00001,00007
00194,00014,00007
00195,00000,00007
00196,00002,00006
00197,00001,00006
00198,00005,00005
00199,00000,00005
00200,00001,00005
00201,00001,00005
00202,00027,00005
00203,00000,00014
00204,00006,00005
00205,00005,00018
00206,00003,00023
00207,00000,00020
00208,00000,00005
00209,00002,00023
00210,00005,00020
00211,00005,00005
00212,00000,00005
00213,00000,00010
00214,00017,00013
00215,00087,00023
00216,00000,00012
00217,00000,00023
00218,00001,00024
00219,00188,00017
00220,00002,00030
00221,00003,00020
00222,00000,00015
00223,00000,00044
00224,00010,00023
00225,00094,00037
00226,00006,00036
00227,00010,00029
00228,00000,00036
00229,00000,00021
00230,00015,00027
00231,00000,00043
00232,00004,00062
00233,00015,00025
00234,00004,00018
00235,00013,00068
00236,00000,00025
00237,00000,00037
00238,00010,00061
00239,00000,00023
00240,00021,00038
00241,00000,00027
00242,00003,00043
00243,00000,00033
00244,00040,00045
00245,00000,00042
00246,00008,00056
00247,00013,00017
00248,00017,00040
00249,00000,00030
00250,00002,00016
00251,00000,00050
00252,00091,00018
00253,00001,00043
00254,00000,00059
00255,00252,00004
